ai_academic_entity,country,link
"Institute of Information Technology, JAMK University of Applied Sciences, Jyväskylä",Finland,https://www.jamk.fi/en/research-and-development/rdi-projects/artificial-intelligence-and-data-analysis/home/
"Turku School of Economics, University of Turku",Finland,https://www.utu.fi/en/university/turku-school-of-economics
CEREMADE,France,https://www.ceremade.dauphine.fr/fr/presentation.html
Institut de Recherche en Informatique de Toulouse,France,https://www.irit.fr/
Inria,France,http://www.inria.fr
Institut de Recherche en Informatique de Toulouse,France,https://www.irit.fr/
"AI-driven Business, Rennes School of Business, Rennes",France,https://www.aibusiness.eu/
"ANITI – Artificial and Natural Intelligence Toulouse, Université Fédérale Toulouse Midi-Pyrénées, Toulouse",France,https://en.univ-toulouse.fr/aniti
"Centre de Recherche en Informatique (CRI), Université Paris 1 Panthéon-Sorbonn, Paris",France,https://www.pantheonsorbonne.fr/unites-de-recherche/cri/about-us/
"CRIL – Centre de Recherche en Informatique de Lens, Artois University & CNRS, Lens",France,http://www.cril.univ-artois.fr/en/
"Heudiasyc Laboratory (Heuristic and Diagnostic for Complex Systems), University of Technology of Compiègne/French National Centre for Scientific Research, Compiègne",France,https://www.hds.utc.fr/en.html
"IRIT – Institut de Recherche en Informatique de Toulouse, Univ. Toulouse CNRS, Toulouse",France,https://www.irit.fr/en/research/application-areas/action-scientifc-computing-big-data-ai/
"ISIR – Institut des Systèmes Intelligents et de Robotique, Sorbonne Université, Paris",France,http://www.isir.upmc.fr/
"LERIA – Laboratoire d’Etude et de de Recherche en Informatique d’Angers, Université d’Angers, Angers",France,http://blog.univ-angers.fr/leria/
"LIMSI – Laboratoire d’Informatique pour la Mécanique et les Sciences de l’Ingénieur, CNRS Orsay France",France,https://www.limsi.fr/en/
"LaBRI – Bordeaux Laboratory in Computer Science, University of Bordeaux / CNRS / INRIA, Bordeaux",France,https://www.labri.fr/
"LAB-STICC, ENIB, Brest",France,https://www.labsticc.fr/en/index/
"LAMSADE, Université Paris-Dauphine",France,https://www.lamsade.dauphine.fr/
"LIFEWARE group, Inria Saclay Ile de France, Palaiseau",France,http://lifeware.inria.fr/wiki/Main/HomePage
LTSI (Laboratoire Traitement du Signal et de l'Image),France,https://www.ltsi.univ-rennes1.fr/
"MIAI (Multidisciplinary Institute in Artificial intelligence) @Grenoble Alpes, Université Grenoble Alpes, Grenoble",France,https://miai.univ-grenoble-alpes.fr/miai-institute/
"LIG – Laboratoire d’Informatique de Grenoble, Univ. Grenoble Alpes, CNRS, Grenoble",France,https://www.liglab.fr/en/presentation/laboratory-overview
"LIP6, Sorbonne University, Paris",France,https://www.lip6.fr/?LANG=en
"LIRMM (pôle IA), University of Montpellier, Montpellier",France,http://www.lirmm.fr/
"LSIS – Laboratory for Sciences of information and Systems, Induction for Behavior Modeling (in4Be) Research Group, Aix Marseille University, Marseille",France,https://www.lis-lab.fr/en/home/
"Modal project-team, Inria, Lille",France,https://team.inria.fr/modal/
"ORKAD Group (Operational Research, Knowledge And Data), University of Lille, Lille",France,http://orkad.univ-lille.fr/
"PRIVATICS, INRIA, Sophia Antipolis",France,https://team.inria.fr/privatics/
Laboratoire Hubert Curien @ University Jean Monnet of Saint-Etienne / CNRS,France,https://laboratoirehubertcurien.univ-st-etienne.fr
Department of Empirical Inference,Germany,https://ei.is.tuebingen.mpg.de/
Max Planck Institut Für Informatik,Germany,https://www.mpi-inf.mpg.de/home/
Autonome Intelligente Systeme,Germany,http://ais.informatik.uni-freiburg.de/
Max Planck Institute for Informatics,Germany,https://www.mpi-inf.mpg.de
Max Planck Institute for Intelligent Systems,Germany,https://www.is.mpg.de/en/
AI.DA (AI at TU Darmstadt),Germany,https://www.ai-da.tu-darmstadt.de/
"Algorithm Engineering, Hasso Plattner Institute, Potsdam",Germany,https://hpi.de/friedrich/home.html
"Applied Computational Linguistics: Discourse Research Lab, University of Potsdam, Potsdam",Germany,http://angcl.ling.uni-potsdam.de/
Artificial General Intelligence Sentinel Initiative (AGISI),Germany,http://www.agisi.org/about.html
"Artificial Intelligence Lab, Otto von Guericke University Magdeburg",Germany,http://ai.ovgu.de/
"Artificial Intelligence Research Group, Harz University of Applied Sciences, Wernigerode",Germany,http://artint.hs-harz.de/
"Autonomous Intelligent Systems, University of Freiburg",Germany,http://ais.informatik.uni-freiburg.de/
"Autonomous Intelligent Systems Lab, University of Bonn",Germany,http://www.ais.uni-bonn.de/research.html
"Autonomous System, University of Applied Science Gelsenkirchen, Gelsenkirchen",Germany,http://homepage.informatik.w-hs.de/HSurmann/
"Big Data Analytics Group, Saarland University, Saarbrücken",Germany,https://bigdata.uni-saarland.de/research/research.php
"Bremen Spatial Cognition Center, University of Bremen",Germany,https://bscc.spatial-cognition.de/
"Chair of Automata Theory, TU Dresden, Dresden",Germany,https://tu-dresden.de/ing/informatik/thi/lat?set_language=en
"Cognitive Systems Group, University of Bamberg",Germany,https://www.uni-bamberg.de/en/cogsys/
"colab Potsdam / foundations of computational linguistics, Department of Linguistics, University of Potsdam",Germany,https://www.uni-potsdam.de/en/ling/researchgroups/foundations-of-computational-linguistics
"Computational Logic Group, TU Dresden, Dresden",Germany,https://iccl.inf.tu-dresden.de/web/Computational_Logic/en
"Computer Vision and Machine Learning Systems, University of Münster",Germany,https://www.uni-muenster.de/Informatik.AGRisse/index.shtml
"Computer Vision Group, University of Freiburg",Germany,https://lmb.informatik.uni-freiburg.de/index.php
"Data & Knowledge Engineering Group, Heinrich-Heine-University, Düsseldorf",Germany,https://www.cs.hhu.de/en/research-groups/data-knowledge-engineering.html
"Decision and Operation Technologies, Bielefeld University",Germany,https://www.uni-bielefeld.de/fakultaeten/wirtschaftswissenschaften/lehrbereiche/dot/
"Department of Informatics, Universität Hamburg",Germany,https://www.inf.uni-hamburg.de/en/
Darmstadt University of Technology: Faculty of computer science,Germany,https://www.informatik.tu-darmstadt.de/fb20/index.en.jsp
"Foundations of AI lab, Albert-Ludwigs-Universität, Freiburg",Germany,http://www2.informatik.uni-freiburg.de/~ki/
"Frankfurt Big Data Lab, Goethe University Frankfurt, Frankfurt/Main",Germany,http://www.bigdata.uni-frankfurt.de/about/
"DFKI - German Research Center for Artificial Intelligence, Kaiserslautern (Headquarters)",Germany,https://www.dfki.de/web/ueber-uns/standorte-kontakt/
DFKI - Agents and Simulated Reality,Germany,https://www.dfki.de/en/web/research/research-departments/agents-and-simulated-reality/
"DFKI - Intelligent Networks, Kaiserslautern",Germany,https://www.dfki.de/en/web/research/research-departments/intelligent-networks/
DFKI - Multilinguality and Language Technology,Germany,https://www.dfki.de/en/web/research/research-departments/multilinguality-and-language-technology/
"DFKI - Plan-Based Robot Control, Osnabrück",Germany,https://www.dfki.de/en/web/research/research-departments/plan-based-robot-control/
"DFKI - Robotics Innovation Center, Bremen",Germany,https://robotik.dfki-bremen.de/en/startpage.html
"DFKI - Smart Data and Knowledge Services, Kaiserslautern",Germany,https://www.dfki.de/en/web/research/research-departments/smart-data-knowledge-services/
"DFKI - Smart Service Engineering, Saarbrücken",Germany,https://www.dfki.de/en/web/research/research-departments/smart-service-engineering/
"DFKI - Speech and Language Technology, Berlin",Germany,https://www.dfki.de/en/web/research/research-departments/speech-and-language-technology/
"Helmholtz School for Data Science in Life, Earth and Energy (HDS-LEE), Forschungszentrum Jülich GmbH",Germany,https://www.hds-lee.de/
"Human-Centered Multimedia, Universität Augsburg, Augsburg",Germany,https://www.uni-augsburg.de/en/fakultaet/fai/informatik/prof/hcm/
"Information Systems and Statistics Group, Department of Information Systems, University of Münster, Münster",Germany,https://www.wi.uni-muenster.de/department/statistik
"Institute AIFB – Institute for Applied Informatics and Formal Description Models, Karlsruhe Institute of Technology (KIT), Karlsruhe",Germany,https://aifb.kit.edu/web/Hauptseite/en
"Institute for Web Science and Technologies, Universität Koblenz-Landau, Koblenz",Germany,https://west.uni-koblenz.de/
"Institute of Computer Science, Freie Universität Berlin, Berlin",Germany,http://www.mi.fu-berlin.de/inf/groups/ag-ki/index.html
Dahlem Center for Machine Learning and Robotics,Germany,http://www.mi.fu-berlin.de/inf/groups/ag-ki/index.html
"Institute of Information Systems, Hof University of Applied Sciences",Germany,https://www.iisys.de/en/
"Institute of Neuroscience and Medicine (INM-7), Forschungszentrum Jülich",Germany,https://www.fz-juelich.de/inm/inm-7/EN/Home/home_node.html
"Institute of Software Technology, University of Stuttgart, Stuttgart",Germany,https://www.iste.uni-stuttgart.de/
"Institut für Neuroinformatik, Ruhr-Universität Bochum, Bochum",Germany,https://www.ini.rub.de/
Optimization of Adaptive Systems Group,Germany,https://www.ini.rub.de/research/groups/optimization_of_adaptive_systems/
"Intellectual property rights in distributed information infrastructures, FIZ Karlsruhe – Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen",Germany,https://www.fiz-karlsruhe.de/en/forschung/immaterialgueterrechte-verteilten-informationsinfrastrukturen
"Intelligent Systems Research Group, Leipzig University",Germany,https://www.informatik.uni-leipzig.de/ifi/professuren/theoretischeinf/intelligente-systeme/home/
"Knowledge-Based Systems group, Osnabrück University",Germany,https://kbs.informatik.uos.de/
"Knowledge-Based Systems Group, RWTH Aachen University",Germany,https://www.kbsg.rwth-aachen.de/
"Knowledge creates² Data, University Regensburg",Germany,https://ai.ur.de/en/
"Knowledge Technologies for the Social Sciences, GESIS – Leibniz Institute for the Social Sciences, Cologne",Germany,https://www.gesis.org/en/institute/departments/knowledge-technologies-for-the-social-sciences/
"L3S Research Center, Leibniz Universität Hannover",Germany,https://www.l3s.de/de
"Lab for Computer Graphics and Virtual Reality, University of Bremen",Germany,https://cgvr.cs.uni-bremen.de/
"Lehrstuhl Informatik 6 – Human Language Technology and Pattern Recognition, RWTH Aachen University",Germany,http://www-i6.informatik.rwth-aachen.de/
"Machine Learning & Robotics Lab, University of Stuttgart",Germany,https://ipvs.informatik.uni-stuttgart.de/mlr/
"Machine Learning Group, Bielefeld University",Germany,https://www.cit-ec.de/en/tcs
"Machine Learning Research Group, University of Freiburg",Germany,http://ml.informatik.uni-freiburg.de/
"Medical Data Donors e.V., Erlangen",Germany,https://www.medicaldatadonors.org/index.php/mission/
"Neurorobotics Lab, University of Freiburg",Germany,https://nr.informatik.uni-freiburg.de/
"PRIA – Pattern Recognition and Image Analysis Group, University of Münster",Germany,https://www.uni-muenster.de/PRIA/
"Pattern Recognition Lab, Friedrich-Alexander-University Erlangen-Nuremberg",Germany,https://www5.cs.fau.de/
"Potassco laboratory, University of Potsdam",Germany,https://potassco.org/
"Research Group Theory of Artificial Intelligence, University of Bremen",Germany,http://www.informatik.uni-bremen.de/tdki/
"Robot Learning Lab, University of Freiburg",Germany,https://rl.uni-freiburg.de/
"Spoken Language Systems Group, Saarland University",Germany,https://www.lsv.uni-saarland.de/
Institute of Information Processing (tnt) @ Leibniz University Hannover,Germany,https://www.tnt.uni-hannover.de/
Institute for Artificial Intelligence @ University Bremen,Germany,https://ai.uni-bremen.de
"Foundations of AI Research Group, Saarland University",Germany,http://fai.cs.uni-saarland.de/
"Computer Science Department, Saarland University",Germany,https://www.uni-saarland.de/en/department/department-of-computer-science.html
"Artificial Intelligence Team, Dept. of Informatics and Telecommunications, National and Kapodistrian University of Athens",Greece,http://ai.di.uoa.gr/
"Bioinformatics Laboratory, Institute of Applied Biosciences (INAB), Centre for Research and Technology Hellas (CERTH), Thessaloniki",Greece,https://inab.certh.gr/
"Computational Biomedicine Lab, University of Piraeus",Greece,http://cbml.ds.unipi.gr/en/
"Computational Methodologies & Operations Research (CMOR) Laboratory, Dept. of Applied Informatics, University of Macedonia, Thessaloniki",Greece,http://cmor.uom.gr/
"Emerging Methodologies in Economics and Finance Group, Department of Economics, Democritus University of Thrace, Komotini",Greece,https://sites.google.com/site/duthemef/home
"Intelligent Systems Laboratory, Aristotle University of Thessaloniki",Greece,https://intelligence.csd.auth.gr/
"ISLab – Intelligent Systems Laboratory, Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia",Greece,https://isl.dib.uth.gr/
"Mens Ex Machina, Computer Science Department, University of Crete, Heraklion",Greece,http://mensxmachina.org/en/
"Multimedia, Knowledge & Social Media Analytics Lab, Centre for Research and Technology Hellas, Information Technologies Institute",Greece,https://mklab.iti.gr/research/
